[23:18:38.139] [LastEpoch_Hud] List of skins, count = 3267
[23:18:38.142] [LastEpoch_Hud] Index = 0, Base Name = Mercenary Helmet, Type = HELMET, Classe Req = All
[23:18:38.202] [LastEpoch_Hud] Index = 708, Base Name = Obsidian Axe, Type = TWO_HANDED_AXE, Classe Req = Mage
[23:18:38.202] [LastEpoch_Hud] Index = 709, Base Name = Obsidian Axe, Type = TWO_HANDED_AXE, Classe Req = Primalist
[23:18:38.202] [LastEpoch_Hud] Index = 710, Base Name = Obsidian Axe, Type = TWO_HANDED_AXE, Classe Req = Rogue
[23:18:38.202] [LastEpoch_Hud] Index = 711, Base Name = Obsidian Axe, Type = TWO_HANDED_AXE, Classe Req = Sentinel
[23:18:38.202] [LastEpoch_Hud] Index = 712, Base Name = Bone Scythe, Type = TWO_HANDED_AXE, Classe Req = All
[23:18:38.202] [LastEpoch_Hud] Index = 713, Base Name = Bone Scythe, Type = TWO_HANDED_AXE, Classe Req = Acolyte
[23:18:38.202] [LastEpoch_Hud] Index = 714, Base Name = Bone Scythe, Type = TWO_HANDED_AXE, Classe Req = Mage
[23:18:38.202] [LastEpoch_Hud] Index = 715, Base Name = Bone Scythe, Type = TWO_HANDED_AXE, Classe Req = Primalist
[23:18:38.202] [LastEpoch_Hud] Index = 716, Base Name = Bone Scythe, Type = TWO_HANDED_AXE, Classe Req = Rogue
[23:18:38.202] [LastEpoch_Hud] Index = 717, Base Name = Bone Scythe, Type = TWO_HANDED_AXE, Classe Req = Sentinel
[23:18:38.202] [LastEpoch_Hud] Index = 718, Base Name = Bardiche, Type = TWO_HANDED_AXE, Classe Req = All
[23:18:38.202] [LastEpoch_Hud] Index = 719, Base Name = Bardiche, Type = TWO_HANDED_AXE, Classe Req = Acolyte
[23:18:38.202] [LastEpoch_Hud] Index = 720, Base Name = Bardiche, Type = TWO_HANDED_AXE, Classe Req = Mage
[23:18:38.202] [LastEpoch_Hud] Index = 721, Base Name = Bardiche, Type = TWO_HANDED_AXE, Classe Req = Primalist
[23:18:38.202] [LastEpoch_Hud] Index = 722, Base Name = Bardiche, Type = TWO_HANDED_AXE, Classe Req = Rogue
[23:18:38.202] [LastEpoch_Hud] Index = 723, Base Name = Bardiche, Type = TWO_HANDED_AXE, Classe Req = Sentinel
[23:18:38.203] [LastEpoch_Hud] Index = 724, Base Name = Radiant Axe, Type = TWO_HANDED_AXE, Classe Req = All
[23:18:38.203] [LastEpoch_Hud] Index = 725, Base Name = Radiant Axe, Type = TWO_HANDED_AXE, Classe Req = Acolyte
[23:18:38.203] [LastEpoch_Hud] Index = 726, Base Name = Radiant Axe, Type = TWO_HANDED_AXE, Classe Req = Mage
[23:18:38.203] [LastEpoch_Hud] Index = 727, Base Name = Radiant Axe, Type = TWO_HANDED_AXE, Classe Req = Primalist
[23:18:38.203] [LastEpoch_Hud] Index = 728, Base Name = Radiant Axe, Type = TWO_HANDED_AXE, Classe Req = Rogue
[23:18:38.203] [LastEpoch_Hud] Index = 729, Base Name = Radiant Axe, Type = TWO_HANDED_AXE, Classe Req = Sentinel
[23:18:38.203] [LastEpoch_Hud] Index = 730, Base Name = Fire Lich Scythe, Type = TWO_HANDED_AXE, Classe Req = All
[23:18:38.203] [LastEpoch_Hud] Index = 731, Base Name = Fire Lich Scythe, Type = TWO_HANDED_AXE, Classe Req = Acolyte
[23:18:38.203] [LastEpoch_Hud] Index = 732, Base Name = Fire Lich Scythe, Type = TWO_HANDED_AXE, Classe Req = Mage
[23:18:38.203] [LastEpoch_Hud] Index = 733, Base Name = Fire Lich Scythe, Type = TWO_HANDED_AXE, Classe Req = Primalist
[23:18:38.203] [LastEpoch_Hud] Index = 734, Base Name = Fire Lich Scythe, Type = TWO_HANDED_AXE, Classe Req = Rogue
[23:18:38.203] [LastEpoch_Hud] Index = 735, Base Name = Fire Lich Scythe, Type = TWO_HANDED_AXE, Classe Req = Sentinel
[23:18:38.203] [LastEpoch_Hud] Index = 736, Base Name = Great Mace, Type = TWO_HANDED_MACE, Classe Req = All
[23:18:38.203] [LastEpoch_Hud] Index = 737, Base Name = Great Mace, Type = TWO_HANDED_MACE, Classe Req = Acolyte
[23:18:38.203] [LastEpoch_Hud] Index = 738, Base Name = Great Mace, Type = TWO_HANDED_MACE, Classe Req = Mage
[23:18:38.203] [LastEpoch_Hud] Index = 739, Base Name = Great Mace, Type = TWO_HANDED_MACE, Classe Req = Primalist
[23:18:38.203] [LastEpoch_Hud] Index = 740, Base Name = Great Mace, Type = TWO_HANDED_MACE, Classe Req = Rogue
[23:18:38.203] [LastEpoch_Hud] Index = 741, Base Name = Great Mace, Type = TWO_HANDED_MACE, Classe Req = Sentinel
[23:18:38.204] [LastEpoch_Hud] Index = 742, Base Name = Spiked Great Club, Type = TWO_HANDED_MACE, Classe Req = All
[23:18:38.204] [LastEpoch_Hud] Index = 743, Base Name = Spiked Great Club, Type = TWO_HANDED_MACE, Classe Req = Acolyte
[23:18:38.204] [LastEpoch_Hud] Index = 744, Base Name = Spiked Great Club, Type = TWO_HANDED_MACE, Classe Req = Mage
[23:18:38.204] [LastEpoch_Hud] Index = 745, Base Name = Spiked Great Club, Type = TWO_HANDED_MACE, Classe Req = Primalist
[23:18:38.204] [LastEpoch_Hud] Index = 746, Base Name = Spiked Great Club, Type = TWO_HANDED_MACE, Classe Req = Rogue
[23:18:38.204] [LastEpoch_Hud] Index = 747, Base Name = Spiked Great Club, Type = TWO_HANDED_MACE, Classe Req = Sentinel
[23:18:38.204] [LastEpoch_Hud] Index = 748, Base Name = Maul, Type = TWO_HANDED_MACE, Classe Req = All
[23:18:38.204] [LastEpoch_Hud] Index = 749, Base Name = Maul, Type = TWO_HANDED_MACE, Classe Req = Acolyte
[23:18:38.204] [LastEpoch_Hud] Index = 750, Base Name = Maul, Type = TWO_HANDED_MACE, Classe Req = Mage
[23:18:38.204] [LastEpoch_Hud] Index = 751, Base Name = Maul, Type = TWO_HANDED_MACE, Classe Req = Primalist
[23:18:38.204] [LastEpoch_Hud] Index = 752, Base Name = Maul, Type = TWO_HANDED_MACE, Classe Req = Rogue
[23:18:38.204] [LastEpoch_Hud] Index = 753, Base Name = Maul, Type = TWO_HANDED_MACE, Classe Req = Sentinel
[23:18:38.204] [LastEpoch_Hud] Index = 754, Base Name = Spiked Maul, Type = TWO_HANDED_MACE, Classe Req = All
[23:18:38.204] [LastEpoch_Hud] Index = 755, Base Name = Spiked Maul, Type = TWO_HANDED_MACE, Classe Req = Acolyte
[23:18:38.204] [LastEpoch_Hud] Index = 756, Base Name = Spiked Maul, Type = TWO_HANDED_MACE, Classe Req = Mage
[23:18:38.204] [LastEpoch_Hud] Index = 757, Base Name = Spiked Maul, Type = TWO_HANDED_MACE, Classe Req = Primalist
[23:18:38.204] [LastEpoch_Hud] Index = 758, Base Name = Spiked Maul, Type = TWO_HANDED_MACE, Classe Req = Rogue
[23:18:38.205] [LastEpoch_Hud] Index = 759, Base Name = Spiked Maul, Type = TWO_HANDED_MACE, Classe Req = Sentinel
[23:18:38.205] [LastEpoch_Hud] Index = 760, Base Name = Giant Club, Type = TWO_HANDED_MACE, Classe Req = All
[23:18:38.205] [LastEpoch_Hud] Index = 761, Base Name = Giant Club, Type = TWO_HANDED_MACE, Classe Req = Acolyte
[23:18:38.205] [LastEpoch_Hud] Index = 762, Base Name = Giant Club, Type = TWO_HANDED_MACE, Classe Req = Mage
[23:18:38.205] [LastEpoch_Hud] Index = 763, Base Name = Giant Club, Type = TWO_HANDED_MACE, Classe Req = Primalist
[23:18:38.205] [LastEpoch_Hud] Index = 764, Base Name = Giant Club, Type = TWO_HANDED_MACE, Classe Req = Rogue
[23:18:38.205] [LastEpoch_Hud] Index = 765, Base Name = Giant Club, Type = TWO_HANDED_MACE, Classe Req = Sentinel
[23:18:38.205] [LastEpoch_Hud] Index = 766, Base Name = Great Hammer, Type = TWO_HANDED_MACE, Classe Req = All
[23:18:38.205] [LastEpoch_Hud] Index = 767, Base Name = Great Hammer, Type = TWO_HANDED_MACE, Classe Req = Acolyte
[23:18:38.205] [LastEpoch_Hud] Index = 768, Base Name = Great Hammer, Type = TWO_HANDED_MACE, Classe Req = Mage
[23:18:38.205] [LastEpoch_Hud] Index = 769, Base Name = Great Hammer, Type = TWO_HANDED_MACE, Classe Req = Primalist
[23:18:38.205] [LastEpoch_Hud] Index = 770, Base Name = Great Hammer, Type = TWO_HANDED_MACE, Classe Req = Rogue
[23:18:38.205] [LastEpoch_Hud] Index = 771, Base Name = Great Hammer, Type = TWO_HANDED_MACE, Classe Req = Sentinel
[23:18:38.205] [LastEpoch_Hud] Index = 772, Base Name = Titan Femur, Type = TWO_HANDED_MACE, Classe Req = All
[23:18:38.205] [LastEpoch_Hud] Index = 773, Base Name = Titan Femur, Type = TWO_HANDED_MACE, Classe Req = Acolyte
[23:18:38.205] [LastEpoch_Hud] Index = 774, Base Name = Titan Femur, Type = TWO_HANDED_MACE, Classe Req = Mage
[23:18:38.205] [LastEpoch_Hud] Index = 775, Base Name = Titan Femur, Type = TWO_HANDED_MACE, Classe Req = Primalist
[23:18:38.206] [LastEpoch_Hud] Index = 776, Base Name = Titan Femur, Type = TWO_HANDED_MACE, Classe Req = Rogue
[23:18:38.206] [LastEpoch_Hud] Index = 777, Base Name = Titan Femur, Type = TWO_HANDED_MACE, Classe Req = Sentinel
[23:18:38.206] [LastEpoch_Hud] Index = 778, Base Name = Terror Mace, Type = TWO_HANDED_MACE, Classe Req = All
[23:18:38.206] [LastEpoch_Hud] Index = 779, Base Name = Terror Mace, Type = TWO_HANDED_MACE, Classe Req = Acolyte
[23:18:38.206] [LastEpoch_Hud] Index = 780, Base Name = Terror Mace, Type = TWO_HANDED_MACE, Classe Req = Mage
[23:18:38.206] [LastEpoch_Hud] Index = 781, Base Name = Terror Mace, Type = TWO_HANDED_MACE, Classe Req = Primalist
[23:18:38.206] [LastEpoch_Hud] Index = 782, Base Name = Terror Mace, Type = TWO_HANDED_MACE, Classe Req = Rogue
[23:18:38.206] [LastEpoch_Hud] Index = 783, Base Name = Terror Mace, Type = TWO_HANDED_MACE, Classe Req = Sentinel
[23:18:38.206] [LastEpoch_Hud] Index = 784, Base Name = Lucerne, Type = TWO_HANDED_MACE, Classe Req = All
[23:18:38.206] [LastEpoch_Hud] Index = 785, Base Name = Lucerne, Type = TWO_HANDED_MACE, Classe Req = Acolyte
[23:18:38.206] [LastEpoch_Hud] Index = 786, Base Name = Lucerne, Type = TWO_HANDED_MACE, Classe Req = Mage
[23:18:38.206] [LastEpoch_Hud] Index = 787, Base Name = Lucerne, Type = TWO_HANDED_MACE, Classe Req = Primalist
[23:18:38.206] [LastEpoch_Hud] Index = 788, Base Name = Lucerne, Type = TWO_HANDED_MACE, Classe Req = Rogue
[23:18:38.206] [LastEpoch_Hud] Index = 789, Base Name = Lucerne, Type = TWO_HANDED_MACE, Classe Req = Sentinel
[23:18:38.206] [LastEpoch_Hud] Index = 790, Base Name = Eber Head, Type = TWO_HANDED_MACE, Classe Req = All
[23:18:38.207] [LastEpoch_Hud] Index = 791, Base Name = Eber Head, Type = TWO_HANDED_MACE, Classe Req = Acolyte
[23:18:38.207] [LastEpoch_Hud] Index = 792, Base Name = Eber Head, Type = TWO_HANDED_MACE, Classe Req = Mage
[23:18:38.207] [LastEpoch_Hud] Index = 793, Base Name = Eber Head, Type = TWO_HANDED_MACE, Classe Req = Primalist
[23:18:38.207] [LastEpoch_Hud] Index = 794, Base Name = Eber Head, Type = TWO_HANDED_MACE, Classe Req = Rogue
[23:18:38.207] [LastEpoch_Hud] Index = 795, Base Name = Eber Head, Type = TWO_HANDED_MACE, Classe Req = Sentinel
[23:18:38.207] [LastEpoch_Hud] Index = 796, Base Name = Pike, Type = TWO_HANDED_SPEAR, Classe Req = All
[23:18:38.207] [LastEpoch_Hud] Index = 797, Base Name = Pike, Type = TWO_HANDED_SPEAR, Classe Req = Acolyte
[23:18:38.207] [LastEpoch_Hud] Index = 798, Base Name = Pike, Type = TWO_HANDED_SPEAR, Classe Req = Mage
[23:18:38.208] [LastEpoch_Hud] Index = 799, Base Name = Pike, Type = TWO_HANDED_SPEAR, Classe Req = Primalist
[23:18:38.208] [LastEpoch_Hud] Index = 800, Base Name = Pike, Type = TWO_HANDED_SPEAR, Classe Req = Rogue
[23:18:38.208] [LastEpoch_Hud] Index = 801, Base Name = Pike, Type = TWO_HANDED_SPEAR, Classe Req = Sentinel
[23:18:38.208] [LastEpoch_Hud] Index = 802, Base Name = Short Spear, Type = TWO_HANDED_SPEAR, Classe Req = All
[23:18:38.208] [LastEpoch_Hud] Index = 803, Base Name = Short Spear, Type = TWO_HANDED_SPEAR, Classe Req = Acolyte
[23:18:38.208] [LastEpoch_Hud] Index = 804, Base Name = Short Spear, Type = TWO_HANDED_SPEAR, Classe Req = Mage
[23:18:38.208] [LastEpoch_Hud] Index = 805, Base Name = Short Spear, Type = TWO_HANDED_SPEAR, Classe Req = Primalist
[23:18:38.208] [LastEpoch_Hud] Index = 806, Base Name = Short Spear, Type = TWO_HANDED_SPEAR, Classe Req = Rogue
[23:18:38.208] [LastEpoch_Hud] Index = 807, Base Name = Short Spear, Type = TWO_HANDED_SPEAR, Classe Req = Sentinel
[23:18:38.208] [LastEpoch_Hud] Index = 808, Base Name = Ice Spear, Type = TWO_HANDED_SPEAR, Classe Req = All
[23:18:38.208] [LastEpoch_Hud] Index = 809, Base Name = Ice Spear, Type = TWO_HANDED_SPEAR, Classe Req = Acolyte
[23:18:38.208] [LastEpoch_Hud] Index = 810, Base Name = Ice Spear, Type = TWO_HANDED_SPEAR, Classe Req = Mage
[23:18:38.208] [LastEpoch_Hud] Index = 811, Base Name = Ice Spear, Type = TWO_HANDED_SPEAR, Classe Req = Primalist
[23:18:38.208] [LastEpoch_Hud] Index = 812, Base Name = Ice Spear, Type = TWO_HANDED_SPEAR, Classe Req = Rogue
[23:18:38.208] [LastEpoch_Hud] Index = 813, Base Name = Ice Spear, Type = TWO_HANDED_SPEAR, Classe Req = Sentinel
[23:18:38.208] [LastEpoch_Hud] Index = 814, Base Name = Impaler, Type = TWO_HANDED_SPEAR, Classe Req = All
[23:18:38.209] [LastEpoch_Hud] Index = 815, Base Name = Impaler, Type = TWO_HANDED_SPEAR, Classe Req = Acolyte
[23:18:38.209] [LastEpoch_Hud] Index = 816, Base Name = Impaler, Type = TWO_HANDED_SPEAR, Classe Req = Mage
[23:18:38.209] [LastEpoch_Hud] Index = 817, Base Name = Impaler, Type = TWO_HANDED_SPEAR, Classe Req = Primalist
[23:18:38.209] [LastEpoch_Hud] Index = 818, Base Name = Impaler, Type = TWO_HANDED_SPEAR, Classe Req = Rogue
[23:18:38.209] [LastEpoch_Hud] Index = 819, Base Name = Impaler, Type = TWO_HANDED_SPEAR, Classe Req = Sentinel
[23:18:38.209] [LastEpoch_Hud] Index = 820, Base Name = Trident, Type = TWO_HANDED_SPEAR, Classe Req = All
[23:18:38.209] [LastEpoch_Hud] Index = 821, Base Name = Trident, Type = TWO_HANDED_SPEAR, Classe Req = Acolyte
[23:18:38.209] [LastEpoch_Hud] Index = 822, Base Name = Trident, Type = TWO_HANDED_SPEAR, Classe Req = Mage
[23:18:38.209] [LastEpoch_Hud] Index = 823, Base Name = Trident, Type = TWO_HANDED_SPEAR, Classe Req = Primalist
[23:18:38.209] [LastEpoch_Hud] Index = 824, Base Name = Trident, Type = TWO_HANDED_SPEAR, Classe Req = Rogue
[23:18:38.209] [LastEpoch_Hud] Index = 825, Base Name = Trident, Type = TWO_HANDED_SPEAR, Classe Req = Sentinel
[23:18:38.209] [LastEpoch_Hud] Index = 826, Base Name = Glaive, Type = TWO_HANDED_SPEAR, Classe Req = All
[23:18:38.209] [LastEpoch_Hud] Index = 827, Base Name = Glaive, Type = TWO_HANDED_SPEAR, Classe Req = Acolyte
[23:18:38.209] [LastEpoch_Hud] Index = 828, Base Name = Glaive, Type = TWO_HANDED_SPEAR, Classe Req = Mage
[23:18:38.209] [LastEpoch_Hud] Index = 829, Base Name = Glaive, Type = TWO_HANDED_SPEAR, Classe Req = Primalist
[23:18:38.209] [LastEpoch_Hud] Index = 830, Base Name = Glaive, Type = TWO_HANDED_SPEAR, Classe Req = Rogue
[23:18:38.209] [LastEpoch_Hud] Index = 831, Base Name = Glaive, Type = TWO_HANDED_SPEAR, Classe Req = Sentinel
[23:18:38.210] [LastEpoch_Hud] Index = 832, Base Name = Polesword, Type = TWO_HANDED_SPEAR, Classe Req = All
[23:18:38.210] [LastEpoch_Hud] Index = 833, Base Name = Polesword, Type = TWO_HANDED_SPEAR, Classe Req = Acolyte
[23:18:38.210] [LastEpoch_Hud] Index = 834, Base Name = Polesword, Type = TWO_HANDED_SPEAR, Classe Req = Mage
[23:18:38.210] [LastEpoch_Hud] Index = 835, Base Name = Polesword, Type = TWO_HANDED_SPEAR, Classe Req = Primalist
[23:18:38.210] [LastEpoch_Hud] Index = 836, Base Name = Polesword, Type = TWO_HANDED_SPEAR, Classe Req = Rogue
[23:18:38.210] [LastEpoch_Hud] Index = 837, Base Name = Polesword, Type = TWO_HANDED_SPEAR, Classe Req = Sentinel
[23:18:38.210] [LastEpoch_Hud] Index = 838, Base Name = Dragonslayer Glaive, Type = TWO_HANDED_SPEAR, Classe Req = All
[23:18:38.210] [LastEpoch_Hud] Index = 839, Base Name = Dragonslayer Glaive, Type = TWO_HANDED_SPEAR, Classe Req = Acolyte
[23:18:38.210] [LastEpoch_Hud] Index = 840, Base Name = Dragonslayer Glaive, Type = TWO_HANDED_SPEAR, Classe Req = Mage
[23:18:38.210] [LastEpoch_Hud] Index = 841, Base Name = Dragonslayer Glaive, Type = TWO_HANDED_SPEAR, Classe Req = Primalist
[23:18:38.210] [LastEpoch_Hud] Index = 842, Base Name = Dragonslayer Glaive, Type = TWO_HANDED_SPEAR, Classe Req = Rogue
[23:18:38.210] [LastEpoch_Hud] Index = 843, Base Name = Dragonslayer Glaive, Type = TWO_HANDED_SPEAR, Classe Req = Sentinel
[23:18:38.210] [LastEpoch_Hud] Index = 844, Base Name = Deicide Lance, Type = TWO_HANDED_SPEAR, Classe Req = All
[23:18:38.210] [LastEpoch_Hud] Index = 845, Base Name = Deicide Lance, Type = TWO_HANDED_SPEAR, Classe Req = Acolyte
[23:18:38.211] [LastEpoch_Hud] Index = 846, Base Name = Deicide Lance, Type = TWO_HANDED_SPEAR, Classe Req = Mage
[23:18:38.211] [LastEpoch_Hud] Index = 847, Base Name = Deicide Lance, Type = TWO_HANDED_SPEAR, Classe Req = Primalist
[23:18:38.211] [LastEpoch_Hud] Index = 848, Base Name = Deicide Lance, Type = TWO_HANDED_SPEAR, Classe Req = Rogue
[23:18:38.211] [LastEpoch_Hud] Index = 849, Base Name = Deicide Lance, Type = TWO_HANDED_SPEAR, Classe Req = Sentinel
[23:18:38.211] [LastEpoch_Hud] Index = 850, Base Name = Sun Spear, Type = TWO_HANDED_SPEAR, Classe Req = All
[23:18:38.211] [LastEpoch_Hud] Index = 851, Base Name = Sun Spear, Type = TWO_HANDED_SPEAR, Classe Req = Acolyte
[23:18:38.211] [LastEpoch_Hud] Index = 852, Base Name = Sun Spear, Type = TWO_HANDED_SPEAR, Classe Req = Mage
[23:18:38.211] [LastEpoch_Hud] Index = 853, Base Name = Sun Spear, Type = TWO_HANDED_SPEAR, Classe Req = Primalist
[23:18:38.211] [LastEpoch_Hud] Index = 854, Base Name = Sun Spear, Type = TWO_HANDED_SPEAR, Classe Req = Rogue
[23:18:38.211] [LastEpoch_Hud] Index = 855, Base Name = Sun Spear, Type = TWO_HANDED_SPEAR, Classe Req = Sentinel
[23:18:38.211] [LastEpoch_Hud] Index = 856, Base Name = Dredge Hook, Type = TWO_HANDED_SPEAR, Classe Req = All
[23:18:38.211] [LastEpoch_Hud] Index = 857, Base Name = Dredge Hook, Type = TWO_HANDED_SPEAR, Classe Req = Acolyte
[23:18:38.211] [LastEpoch_Hud] Index = 858, Base Name = Dredge Hook, Type = TWO_HANDED_SPEAR, Classe Req = Mage
[23:18:38.211] [LastEpoch_Hud] Index = 859, Base Name = Dredge Hook, Type = TWO_HANDED_SPEAR, Classe Req = Primalist
[23:18:38.211] [LastEpoch_Hud] Index = 860, Base Name = Dredge Hook, Type = TWO_HANDED_SPEAR, Classe Req = Rogue
[23:18:38.211] [LastEpoch_Hud] Index = 861, Base Name = Dredge Hook, Type = TWO_HANDED_SPEAR, Classe Req = Sentinel
[23:18:38.211] [LastEpoch_Hud] Index = 862, Base Name = Coiled Bident, Type = TWO_HANDED_SPEAR, Classe Req = All
[23:18:38.212] [LastEpoch_Hud] Index = 863, Base Name = Coiled Bident, Type = TWO_HANDED_SPEAR, Classe Req = Acolyte
[23:18:38.212] [LastEpoch_Hud] Index = 864, Base Name = Coiled Bident, Type = TWO_HANDED_SPEAR, Classe Req = Mage
[23:18:38.212] [LastEpoch_Hud] Index = 865, Base Name = Coiled Bident, Type = TWO_HANDED_SPEAR, Classe Req = Primalist
[23:18:38.212] [LastEpoch_Hud] Index = 866, Base Name = Coiled Bident, Type = TWO_HANDED_SPEAR, Classe Req = Rogue
[23:18:38.212] [LastEpoch_Hud] Index = 867, Base Name = Coiled Bident, Type = TWO_HANDED_SPEAR, Classe Req = Sentinel
[23:18:38.212] [LastEpoch_Hud] Index = 868, Base Name = Obsidian Lance, Type = TWO_HANDED_SPEAR, Classe Req = All
[23:18:38.212] [LastEpoch_Hud] Index = 869, Base Name = Obsidian Lance, Type = TWO_HANDED_SPEAR, Classe Req = Acolyte
[23:18:38.212] [LastEpoch_Hud] Index = 870, Base Name = Obsidian Lance, Type = TWO_HANDED_SPEAR, Classe Req = Mage
[23:18:38.212] [LastEpoch_Hud] Index = 871, Base Name = Obsidian Lance, Type = TWO_HANDED_SPEAR, Classe Req = Primalist
[23:18:38.212] [LastEpoch_Hud] Index = 872, Base Name = Obsidian Lance, Type = TWO_HANDED_SPEAR, Classe Req = Rogue
[23:18:38.212] [LastEpoch_Hud] Index = 873, Base Name = Obsidian Lance, Type = TWO_HANDED_SPEAR, Classe Req = Sentinel
[23:18:38.212] [LastEpoch_Hud] Index = 874, Base Name = Rat City Impaler, Type = TWO_HANDED_SPEAR, Classe Req = All
[23:18:38.212] [LastEpoch_Hud] Index = 875, Base Name = Rat City Impaler, Type = TWO_HANDED_SPEAR, Classe Req = Acolyte
[23:18:38.212] [LastEpoch_Hud] Index = 876, Base Name = Rat City Impaler, Type = TWO_HANDED_SPEAR, Classe Req = Mage
[23:18:38.212] [LastEpoch_Hud] Index = 877, Base Name = Rat City Impaler, Type = TWO_HANDED_SPEAR, Classe Req = Primalist
[23:18:38.212] [LastEpoch_Hud] Index = 878, Base Name = Rat City Impaler, Type = TWO_HANDED_SPEAR, Classe Req = Rogue
[23:18:38.213] [LastEpoch_Hud] Index = 879, Base Name = Rat City Impaler, Type = TWO_HANDED_SPEAR, Classe Req = Sentinel
[23:18:38.213] [LastEpoch_Hud] Index = 880, Base Name = Travelling Staff, Type = TWO_HANDED_STAFF, Classe Req = All
[23:18:38.213] [LastEpoch_Hud] Index = 881, Base Name = Travelling Staff, Type = TWO_HANDED_STAFF, Classe Req = Acolyte
[23:18:38.213] [LastEpoch_Hud] Index = 882, Base Name = Travelling Staff, Type = TWO_HANDED_STAFF, Classe Req = Mage
[23:18:38.213] [LastEpoch_Hud] Index = 883, Base Name = Travelling Staff, Type = TWO_HANDED_STAFF, Classe Req = Primalist
[23:18:38.213] [LastEpoch_Hud] Index = 884, Base Name = Travelling Staff, Type = TWO_HANDED_STAFF, Classe Req = Rogue
[23:18:38.213] [LastEpoch_Hud] Index = 885, Base Name = Travelling Staff, Type = TWO_HANDED_STAFF, Classe Req = Sentinel
[23:18:38.213] [LastEpoch_Hud] Index = 886, Base Name = Root Staff, Type = TWO_HANDED_STAFF, Classe Req = All
[23:18:38.213] [LastEpoch_Hud] Index = 887, Base Name = Root Staff, Type = TWO_HANDED_STAFF, Classe Req = Acolyte
[23:18:38.213] [LastEpoch_Hud] Index = 888, Base Name = Root Staff, Type = TWO_HANDED_STAFF, Classe Req = Mage
[23:18:38.213] [LastEpoch_Hud] Index = 889, Base Name = Root Staff, Type = TWO_HANDED_STAFF, Classe Req = Primalist
[23:18:38.213] [LastEpoch_Hud] Index = 890, Base Name = Root Staff, Type = TWO_HANDED_STAFF, Classe Req = Rogue
[23:18:38.213] [LastEpoch_Hud] Index = 891, Base Name = Root Staff, Type = TWO_HANDED_STAFF, Classe Req = Sentinel
[23:18:38.213] [LastEpoch_Hud] Index = 892, Base Name = Sacrificial Staff, Type = TWO_HANDED_STAFF, Classe Req = All
[23:18:38.213] [LastEpoch_Hud] Index = 893, Base Name = Sacrificial Staff, Type = TWO_HANDED_STAFF, Classe Req = Acolyte
[23:18:38.213] [LastEpoch_Hud] Index = 894, Base Name = Sacrificial Staff, Type = TWO_HANDED_STAFF, Classe Req = Mage
[23:18:38.214] [LastEpoch_Hud] Index = 895, Base Name = Sacrificial Staff, Type = TWO_HANDED_STAFF, Classe Req = Primalist
[23:18:38.214] [LastEpoch_Hud] Index = 896, Base Name = Sacrificial Staff, Type = TWO_HANDED_STAFF, Classe Req = Rogue
[23:18:38.214] [LastEpoch_Hud] Index = 897, Base Name = Sacrificial Staff, Type = TWO_HANDED_STAFF, Classe Req = Sentinel
[23:18:38.214] [LastEpoch_Hud] Index = 898, Base Name = Quarter Staff, Type = TWO_HANDED_STAFF, Classe Req = All
[23:18:38.214] [LastEpoch_Hud] Index = 899, Base Name = Quarter Staff, Type = TWO_HANDED_STAFF, Classe Req = Acolyte
[23:18:38.214] [LastEpoch_Hud] Index = 900, Base Name = Quarter Staff, Type = TWO_HANDED_STAFF, Classe Req = Mage
[23:18:38.214] [LastEpoch_Hud] Index = 901, Base Name = Quarter Staff, Type = TWO_HANDED_STAFF, Classe Req = Primalist
[23:18:38.214] [LastEpoch_Hud] Index = 902, Base Name = Quarter Staff, Type = TWO_HANDED_STAFF, Classe Req = Rogue
[23:18:38.214] [LastEpoch_Hud] Index = 903, Base Name = Quarter Staff, Type = TWO_HANDED_STAFF, Classe Req = Sentinel
[23:18:38.214] [LastEpoch_Hud] Index = 904, Base Name = Imperial Staff, Type = TWO_HANDED_STAFF, Classe Req = All
[23:18:38.214] [LastEpoch_Hud] Index = 905, Base Name = Imperial Staff, Type = TWO_HANDED_STAFF, Classe Req = Acolyte
[23:18:38.214] [LastEpoch_Hud] Index = 906, Base Name = Imperial Staff, Type = TWO_HANDED_STAFF, Classe Req = Mage
[23:18:38.214] [LastEpoch_Hud] Index = 907, Base Name = Imperial Staff, Type = TWO_HANDED_STAFF, Classe Req = Primalist
[23:18:38.214] [LastEpoch_Hud] Index = 908, Base Name = Imperial Staff, Type = TWO_HANDED_STAFF, Classe Req = Rogue
[23:18:38.214] [LastEpoch_Hud] Index = 909, Base Name = Imperial Staff, Type = TWO_HANDED_STAFF, Classe Req = Sentinel
[23:18:38.214] [LastEpoch_Hud] Index = 910, Base Name = Spine Rod, Type = TWO_HANDED_STAFF, Classe Req = All
[23:18:38.214] [LastEpoch_Hud] Index = 911, Base Name = Spine Rod, Type = TWO_HANDED_STAFF, Classe Req = Acolyte
[23:18:38.214] [LastEpoch_Hud] Index = 912, Base Name = Spine Rod, Type = TWO_HANDED_STAFF, Classe Req = Mage
[23:18:38.214] [LastEpoch_Hud] Index = 913, Base Name = Spine Rod, Type = TWO_HANDED_STAFF, Classe Req = Primalist
[23:18:38.215] [LastEpoch_Hud] Index = 914, Base Name = Spine Rod, Type = TWO_HANDED_STAFF, Classe Req = Rogue
[23:18:38.215] [LastEpoch_Hud] Index = 915, Base Name = Spine Rod, Type = TWO_HANDED_STAFF, Classe Req = Sentinel
